Search Query,Clicks,Impressions,CTR,Average Position,Query_Modified,CLUSTERS
google logo hoodie,6,30,0.2000,2.2,google logo hoodie,7
google me t shirt,6,71,0.0845,2.1,google shirt,7
google merchandice,6,55,0.1091,1.0,google merchandise,7
google merchandise shop,6,152,0.0395,1.0,google merchandise shop,5
google merchandize,6,75,0.0800,1.0,google merchandise,7
google official merchandise store,6,181,0.0331,1.1,google official merchandise store,5
google return policy,6,302,0.0199,8.9,google return policy,7
google review stickers,6,77,0.0779,5.0,google review stickers,7
google shipping time,6,39,0.1538,3.4,google shipping time,7
google sonnenbrille,6,39,0.1538,1.0,google,7
google sunglass,6,305,0.0197,6.7,google,7
google sweatshirts,6,13,0.4615,1.1,google shirt,7
google.merchandise store,6,134,0.0448,1.0,google merchandise store,5
how to get google developer t shirt,6,170,0.0353,5.8,get google developer shirt,7
kid youtube shirt,6,102,0.0588,4.9,kid youtube shirt,2
tensorflow t shirt india,6,82,0.0732,7.4,tensor flow shirt india,2
the minorities merch,6,542,0.0111,9.6,minorities merchandise,4
you tube shirts,6,72,0.0833,1.1,youtube shirt,6
you tube t shirts,6,79,0.0759,1.2,youtube shirt,6
youtube gaming hoodie,6,149,0.0403,9.7,youtube gaming hoodie,6
youtube hats,6,127,0.0472,5.2,youtube hats,6
youtube jacket for sale,6,31,0.1935,1.0,youtube jacket sale,6
youtube socks,6,152,0.0395,7.4,youtube socks,6
youtube store uk,6,30,0.2000,3.6,youtube store uk,6
youtube stores,6,149,0.0403,5.2,youtube store,6
youtube t shirt online,6,68,0.0882,2.6,youtube shirt online,6
youtuber clothing brands,6,333,0.0180,8.1,youtube clothing brands,5
youtuber merch shop,6,295,0.0203,5.7,youtube merchandise shop,5
youtube周邊商品,6,43,0.1395,3.7,youtube,6
android clothing,5,119,0.0420,2.8,android clothing,5
android logo toy,5,40,0.1250,6.7,android logo toy,5
bags,5,17573,0.0003,19.0,bags,3
bags store,5,840,0.0060,10.0,bags store,3
buy google merchandise,5,59,0.0847,1.0,buy google merchandise,5
buy youtube t shirt,5,74,0.0676,1.4,buy youtube shirt,2
buy youtube t shirt india,5,39,0.1282,3.9,buy youtube shirt india,2
cheap youtube merch,5,181,0.0276,6.4,cheap youtube merchandise,5
clothes google,5,47,0.1064,1.2,clothes google,7
flutter t-shirt,5,47,0.1064,4.3,flutter shirt,2
golang merch,5,42,0.1190,8.4,merchandise,4
google baby clothes,5,71,0.0704,1.0,google baby clothes,5
google brand,5,1063,0.0047,11.0,google brand,7
google cloud sticker,5,47,0.1064,5.5,google cloud sticker,7
google electronics products,5,121,0.0413,3.5,google electronics products,7
google fold,5,236,0.0212,6.1,google fold,7
google frisbee,5,40,0.1250,2.1,google frisbee,7
google merchandise center,5,137,0.0365,4.6,google merchandise center,5
